TotalCharges,MonthlyCharges,tenure,Contract,PaymentMethod,OnlineSecurity,TechSupport,InternetService,gender,OnlineBackup,PaperlessBilling,MultipleLines
-0.25617608,-0.5172075,0.10704778,0,2,0,0,0,1,0,0,1
-0.4990341,0.34360337,-0.7073595,0,3,2,0,1,1,0,0,0
-0.74679255,-0.80469835,-0.78880024,2,3,2,2,0,1,2,0,1
-0.16609216,0.29042587,-0.2594355,2,1,0,0,0,0,2,1,0
-0.9877522,-0.6717546,-1.2774446,0,2,0,0,0,1,0,0,0
1.2865528,0.4898415,1.369379,2,1,0,2,0,1,2,1,0
-0.9986788,-1.4943441,-1.2774446,0,1,1,1,2,0,1,0,0
0.04290436,-0.2712615,0.3106496,0,1,0,0,0,0,2,0,2
0.67382306,-0.16490652,1.3286587,2,1,0,2,0,0,0,1,0
1.1324543,0.52473927,1.1250569,1,1,0,2,0,0,0,0,2
-0.88034016,-0.16158292,-1.1145631,0,1,2,2,0,0,2,0,0
-0.904754,-0.5105603,-1.1145631,0,3,2,0,0,0,0,1,0
-0.95309603,-0.45904458,-1.2367243,0,3,2,0,0,0,0,0,0
-0.12437232,0.09433382,-0.09655403,0,2,2,2,0,1,2,0,2
0.52636886,1.0182929,0.14776814,0,2,0,0,1,1,0,1,2
0.68900996,0.14252593,0.9214551,2,1,0,0,1,0,0,1,0
0.14634307,0.6643302,-0.05583367,0,1,2,0,1,0,0,1,2
-0.57757336,-0.9592455,-0.17799476,0,2,0,0,0,0,0,1,1
-0.8631445,-1.5225947,-0.66663915,2,1,1,1,2,1,1,0,0
-0.949807,-1.4827116,-1.0738428,0,0,1,1,2,1,1,0,0
-0.027290922,0.70255154,-0.21871513,1,2,2,0,1,1,0,1,2
-0.35652444,-1.3115464,1.0436162,2,1,1,1,2,1,1,1,2
2.4063883,1.3340343,1.6137012,2,1,2,2,1,1,2,1,2
-0.58298147,-0.9642309,-0.17799476,0,3,0,2,0,0,0,1,1
0.47403142,0.67430097,0.3106496,1,2,0,0,1,1,0,1,0
-0.99836975,-1.471079,-1.2774446,0,3,1,1,2,1,1,0,0
-0.8253097,0.5064595,-1.1145631,0,2,0,0,1,0,0,1,0
-0.9768697,0.14751132,-1.2774446,0,2,0,0,1,0,0,1,0
-0.44424647,1.3473288,-0.8295206,0,2,0,0,1,0,2,1,2
-0.8072532,1.0415581,-1.1145631,0,2,0,2,1,1,0,1,0
1.6617223,0.7091987,1.5729809,2,0,2,2,0,1,2,1,0
-0.9065861,0.40508986,-1.1960039,0,2,0,0,1,1,0,1,2
-0.7178756,-1.4993294,-0.09655403,0,0,1,1,2,0,1,0,0
-0.7831925,-1.4810498,-0.30015585,1,0,1,1,2,0,1,1,0
-0.41978848,-1.3364733,0.799294,2,3,1,1,2,1,1,0,2
1.1447054,1.5035377,0.55497175,1,2,2,0,1,0,2,1,2
-0.74345934,0.19071804,-0.9516817,0,2,0,0,1,1,0,1,0
-0.31676918,0.7341257,-0.54447806,0,2,0,0,1,0,0,1,2
-0.737389,-0.5105603,-0.8295206,0,2,0,0,0,0,2,1,0
0.99062896,1.1279715,0.5142514,1,0,0,2,1,1,2,1,2
0.6194107,1.32074,0.14776814,0,1,2,0,1,0,0,1,2
0.6221699,1.0083221,0.22920887,0,1,0,0,1,1,2,1,2
-0.9989437,-1.5142857,-1.2774446,0,3,1,1,2,1,1,0,0
-0.5492745,1.1213244,-0.91096133,0,2,0,0,1,1,0,1,2
-0.76054466,-0.6634456,-0.78880024,0,0,0,0,0,1,0,0,0
-0.3781128,0.57293135,-0.5851984,1,1,0,2,0,1,0,1,2
-0.30409873,-0.643504,0.18848851,2,2,2,2,0,0,0,0,1
-0.9535596,-1.4760643,-1.1145631,0,1,1,1,2,1,1,0,0
-0.64739335,0.33861798,-0.8702409,0,2,0,0,1,1,2,0,0
1.7170397,1.1429278,1.2879384,0,1,0,2,1,1,2,1,0
-0.9828959,-0.30615926,-1.2774446,0,3,0,0,0,1,0,0,0
0.52601564,0.92190874,0.18848851,0,2,0,0,1,1,0,1,2
1.198875,1.345667,0.6364125,0,1,2,0,1,0,2,1,2
-0.1687631,0.9900424,-0.50375766,0,2,0,0,1,1,0,1,2
-0.21273449,0.1574821,-0.2594355,0,0,2,0,0,0,2,1,2
-0.75202405,-1.5076385,-0.09655403,2,1,1,1,2,0,1,0,0
1.01363,0.07106866,1.4915402,2,3,2,2,0,0,2,1,2
