gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0.0,1,0,-1.2774446,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229,-0.99424195,0
1,0.0,0,0,0.066327415,1,0,0,2,0,2,0,0,0,1,0,3,-0.25962895,-0.17324412,0
1,0.0,0,0,-1.2367243,1,0,0,2,2,0,0,0,0,0,1,3,-0.36266035,-0.95967406,1
1,0.0,0,0,0.5142514,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465355,-0.19476627,0
0,0.0,0,0,-1.2367243,1,0,1,0,0,0,0,0,0,0,1,2,0.19736524,-0.9404697,1
0,0.0,0,0,-0.992402,1,2,1,0,0,2,0,2,2,0,1,2,1.1595457,-0.64518595,1
1,0.0,0,1,-0.42231694,1,2,1,0,2,0,0,2,0,0,1,1,0.80890656,-0.14679949,0
0,0.0,0,0,-0.91096133,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465,-0.87413734,0
0,0.0,1,0,-0.17799476,1,2,1,0,0,2,2,2,2,0,1,2,1.3307108,0.33734927,1
1,0.0,0,1,1.2064976,1,0,0,2,2,0,0,0,0,1,0,0,-0.2862177,0.5324392,0
1,0.0,1,1,-0.78880024,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805,-0.7480728,0
1,0.0,0,0,-0.66663915,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225947,-0.8631445,0
1,0.0,1,0,1.0436162,1,2,1,0,0,2,0,2,2,1,0,1,1.1828109,1.5006704,0
1,0.0,0,0,0.6771329,1,2,1,0,2,2,0,2,2,0,1,0,1.2941513,1.2160044,1
1,0.0,0,0,-0.30015585,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759,0.17841657,0
0,0.0,1,1,1.4915402,1,2,1,2,2,2,2,2,2,2,0,1,1.6115545,2.4781287,0
0,0.0,0,0,0.799294,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935,-0.5558084,0
1,0.0,0,1,1.5729809,1,2,1,2,0,2,0,2,2,2,0,0,1.393859,2.2516937,0
0,0.0,1,1,-0.91096133,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779185,-0.77416426,1
0,0.0,0,0,-0.4630373,1,0,1,0,2,2,0,0,2,0,1,2,0.8404807,-0.18498749,0
1,0.0,0,0,-1.2774446,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107,-0.98991543,1
1,0.0,1,0,-0.8295206,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441,-0.9181308,0
1,0.0,0,0,-1.2774446,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827116,-0.9985243,1
0,0.0,1,0,1.0436162,1,2,0,0,2,0,2,0,0,2,1,1,-0.16158292,0.5400106,0
1,0.0,1,1,0.6771329,1,0,0,2,2,0,2,0,0,0,0,1,-0.1715537,0.3039072,0
0,0.0,0,0,-0.09655403,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446823,-0.3316912,0
1,0.0,1,1,0.59569216,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749,1.0892334,1
1,0.0,1,1,-1.2774446,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903,-0.9940874,1
1,0.0,1,0,1.6137012,1,2,0,2,2,2,2,2,2,2,1,1,0.84712785,1.804563,0
0,0.0,0,1,-0.62591875,1,0,0,0,0,0,0,2,2,0,1,3,-0.002050407,-0.52483857,1
0,0.0,1,0,1.5729809,1,2,1,2,2,2,2,0,0,2,1,1,1.0498672,1.9800513,0
1,0.0,1,0,-1.2367243,1,0,1,0,0,2,0,2,2,0,1,1,1.0216166,-0.9272253,0
0,0.0,1,1,-0.21871513,1,0,0,2,2,2,2,0,0,1,0,3,0.046141706,-0.1798884,0
1,0.0,0,0,-1.2774446,1,0,2,1,1,1,1,1,1,0,0,0,-1.4810498,-0.9985022,0
1,0.0,0,0,-1.2774446,1,0,0,0,0,0,0,0,0,0,0,0,-0.6484894,-0.98744315,0
0,0.0,1,1,1.6137012,1,2,1,2,2,0,2,2,0,2,0,0,1.1678547,2.1940587,0
1,0.0,0,0,-1.1145631,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929,-0.86751515,1
0,0.0,0,0,0.55497175,1,0,1,0,0,2,0,0,0,0,1,1,0.3336326,0.55908245,0
1,0.0,0,0,0.066327415,1,2,1,0,2,2,0,2,2,0,1,2,1.3822265,0.5595019,1
0,0.0,0,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,1,0,1.099721,-0.5194084,1
1,0.0,1,1,-0.91096133,1,0,0,0,2,0,0,0,0,1,0,3,-0.5055749,-0.79740816,0
0,0.0,1,1,1.5322605,1,2,0,2,2,0,0,2,0,2,1,1,0.14751132,1.1436237,0
0,0.0,1,1,-0.62591875,1,0,2,1,1,1,1,1,1,1,0,3,-1.46277,-0.8227712,0
0,0.0,0,0,1.247218,1,2,0,2,2,2,2,2,0,2,1,1,0.5014741,1.1388116,0
0,0.0,1,0,-0.78880024,1,2,0,2,2,0,2,2,0,0,1,2,0.3801629,-0.5741298,0
0,0.0,0,0,0.6771329,1,2,1,0,0,0,0,0,2,0,1,2,0.6560212,0.7173088,0
