gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Predicted,Churn_Probability,Risk_Segment,Retention_Offer,Priority_Score,Communication_Channel,Channel_Cost,Channel_Effectiveness,Channel_Score,Test_Group
1,0.0,0,1,-1.2774446,0,2,1,0,0,2,0,2,2,0,1,2,1.1628693,-0.9633825,1,1,0.9708,High Risk,Upgrade to 2-year contract with 20% discount,97.1,Call,5.0,0.45,3,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,0,2,0.3884719,-0.973669,1,1,0.9625,High Risk,Upgrade to 2-year contract with 20% discount,96.2,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,1,2,0.36520672,-0.97397804,1,1,0.9593,High Risk,Upgrade to 2-year contract with 20% discount,95.9,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,0,2,1,0,0,2,0,2,2,0,0,2,1.2193704,-0.962632,1,1,0.9579,High Risk,Upgrade to 2-year contract with 20% discount,95.8,Call,5.0,0.45,3,Treatment
0,0.0,1,0,-1.2774446,1,2,1,0,0,2,0,2,2,0,1,2,1.197767,-0.96291894,1,1,0.9533,High Risk,Upgrade to 2-year contract with 20% discount,95.3,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,2,0,1,2,0.96677727,-0.9659872,1,1,0.9533,High Risk,Upgrade to 2-year contract with 20% discount,95.3,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,2,0,1,2,0.97176266,-0.965921,1,1,0.947,High Risk,Upgrade to 2-year contract with 20% discount,94.7,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,0,2,1,0,0,0,0,2,2,0,0,2,0.9917042,-0.9656561,1,1,0.9469,High Risk,Upgrade to 2-year contract with 20% discount,94.7,Call,5.0,0.45,3,Treatment
1,0.0,1,0,-0.91096133,1,2,1,0,0,2,0,2,2,0,1,2,1.1213244,-0.5492745,1,1,0.9463,High Risk,Upgrade to 2-year contract with 20% discount,94.6,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,0,2,0.41173705,-0.97335994,1,1,0.9442,High Risk,Upgrade to 2-year contract with 20% discount,94.4,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-1.2774446,1,2,1,0,2,0,0,2,0,0,1,2,0.8587604,-0.96742207,1,1,0.9416,High Risk,Upgrade to 2-year contract with 20% discount,94.2,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,0,2,1.1562221,-0.5080182,1,1,0.9396,High Risk,Upgrade to 2-year contract with 20% discount,94.0,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,2,0,0,2,1.0199548,-0.9652809,1,1,0.9395,High Risk,Upgrade to 2-year contract with 20% discount,94.0,Call,5.0,0.45,4,Treatment
1,0.0,1,0,-1.0331224,1,2,1,0,0,2,0,2,2,0,1,2,1.1462513,-0.7136374,1,1,0.9393,High Risk,Upgrade to 2-year contract with 20% discount,93.9,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,0,0,1,2,0.47820893,-0.97247696,1,1,0.9382,High Risk,Upgrade to 2-year contract with 20% discount,93.8,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.1960039,1,2,1,0,0,2,0,2,2,0,0,2,1.2027525,-0.8617539,1,1,0.9361,High Risk,Upgrade to 2-year contract with 20% discount,93.6,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,2,2,0,0,1,1.1794872,-0.96316177,1,1,0.9343,High Risk,Upgrade to 2-year contract with 20% discount,93.4,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,2,0,0,2,0.9568065,-0.96611965,1,1,0.9328,High Risk,Upgrade to 2-year contract with 20% discount,93.3,Call,5.0,0.45,4,Treatment
1,0.0,0,1,-1.2774446,1,2,1,0,0,0,0,2,2,0,0,2,0.9484975,-0.96623003,1,1,0.9328,High Risk,Upgrade to 2-year contract with 20% discount,93.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,1.0382345,-0.93024945,1,1,0.9318,High Risk,Upgrade to 2-year contract with 20% discount,93.2,Call,5.0,0.45,4,Treatment
1,0.0,1,0,-1.2774446,0,2,1,0,0,0,0,2,2,0,1,2,1.0083221,-0.9654354,1,1,0.9311,High Risk,Upgrade to 2-year contract with 20% discount,93.1,Call,5.0,0.45,3,Control
0,0.0,1,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,0,2,1.1545603,-0.54079807,1,1,0.9307,High Risk,Upgrade to 2-year contract with 20% discount,93.1,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,2,1,0,0,2,0,0,0,0,0,3,0.4915033,-0.9723004,1,1,0.9302,High Risk,Upgrade to 2-year contract with 20% discount,93.0,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.8820256,-0.967113,1,1,0.9291,High Risk,Upgrade to 2-year contract with 20% discount,92.9,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.91096133,1,2,1,0,0,0,2,2,2,0,0,2,1.1213244,-0.54022413,1,1,0.9253,High Risk,Upgrade to 2-year contract with 20% discount,92.5,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-0.8295206,1,2,1,0,0,0,0,2,2,0,1,2,1.0398964,-0.5005572,1,1,0.9236,High Risk,Upgrade to 2-year contract with 20% discount,92.4,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.992402,1,2,1,0,0,2,0,2,2,0,1,2,1.1595457,-0.64518595,1,1,0.9238,High Risk,Upgrade to 2-year contract with 20% discount,92.4,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-0.8295206,0,2,1,0,0,0,2,2,2,0,0,3,1.1695164,-0.50733393,1,1,0.9208,High Risk,Upgrade to 2-year contract with 20% discount,92.1,Call,5.0,0.45,3,Control
0,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,0.96677727,-0.9319933,1,1,0.9202,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.1145631,1,2,1,0,0,0,0,2,2,0,1,3,0.96843904,-0.7924857,1,1,0.9197,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,0.96677727,-0.920559,1,1,0.9204,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,1,2,0.37351573,-0.97386765,1,1,0.9196,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,2,0,0,1,0.8670694,-0.9673117,1,1,0.9195,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Control
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,2,0,0,0,2,0.48485613,-0.9723887,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,0,2,0,0,2,0.4931651,-0.9722783,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,0,0,0,3,0.47820893,-0.97247696,0,1,0.9194,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,2,0,1,2,0.4964887,-0.9722342,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.49482688,-0.97225624,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47987074,-0.9724549,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.85709864,-0.9674441,1,1,0.9179,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,2,0,0,0,0,0,0,2,0.36354494,-0.9740001,1,1,0.9184,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Control
1,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.8670694,-0.9673117,1,1,0.9179,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment
